artist,song,lyrics,emotion
Ariana Grande,​goodnight n go,tell me why you gotta look at me that way you know what it does to me so baby what you tryna say ayy lately all i want is you on top of me you know where your hands should be so baby won't you come show me mmm i got you i got you dreamin' ahh you close your eyes and you're screamin' ahh play with your mind for no reason i know you love how i tease it ahhah you know that i'm playin' so don't be mistaken you already know what i'm thinkin' boy  pre oh why'd you have to be so cute it's impossible to ignore you woah why must you make me laugh so much it's bad enough we get along so well   just say goodnight and go ohh ohh ohh just say goodnight and go ohh ohh ohh just say goodnight and go   one of these days you'll miss your train and come stay with me it's always say goodnight and go we'll have drinks and talk about things and any excuse to stay awake with you and you'd sleep here i'd sleep there but then the heating may be down again at my convenience we'd be good we'd be great together  pre why'd you have to be so cute it's impossible to ignore you woah why must you make me laugh so much it's bad enough we get along so well   just say goodnight and go ohh ohh ohh just say goodnight and go ohh ohh ohh  post i know how you want it baby just like this know you're thinkin' 'bout it baby just one kiss while you're lookin' at 'em baby read my lips i know what you want but you can't have this   tadadadadadadadadadadadada tadadadadadadadadadadadada tadadadadadadadadadadadada tadadadadadadadadadadadada wanna say goodnight honey say goodnight and go wanna say goodnight baby say goodnight and go wanna say goodnight say goodnight and go,joy
Beyoncé,​come home (nala interlude),nala you have to come home we've really needed you you're the king,sadness
Ariana Grande,Into You (Alex Ghenea Remix),ariana grande i'm so into you i can barely breathe and all i wanna do is to fall in deep but close ain't close enough 'til we cross the line hey yeah so name a game to play and i'll roll the dice hey  pre ariana grande oh baby look what you started the temperature's rising in here is this gonna happen been waiting and waiting for you to make a move before i make a move   ariana grande so baby come light me up and maybe i'll let you on it a little bit dangerous but baby that's how i want it a little less conversation and a little more touch my body 'cause i'm so into you into you into you got everyone watchin' us so baby let's keep it secret a little bit scandalous but baby dont let them see it a little less conversation and a little more touch my body 'cause i'm so into you into you   mac miller baby this a microphone checkup what you getting into when you get up when i wake up early i'ma text ya heard you got a man baby i could do it better and it really ain't the plan i just want you to remember how it was how it is how it could be you could pull me in you could push me or we can go for a ride you the sky looking up you a high you ain't never gotta lie cause it's more than just pussy for the night everything's alright when you lay down i'ma hit the lights if you say so and what's a life if you don't got me give you what you want what you need what you came for hit me up when you're feeling blue and i'll tell how i'm feeling too so you know i just want to get into you right here in the living room let's go   ariana grande so baby come light me up and maybe i'll let you on it a little bit dangerous but baby that's how i want it a little less conversation and a little more touch my body 'cause i'm so into you into you into you got everyone watchin' us so baby let's keep it secret a little bit scandalous but baby dont let them see it a little less conversation and a little more touch my body 'cause i'm so into you into you into you oh yeah   ariana grande tell me what you came here for 'cause i can't i can't wait no more i'm on the edge with no control and i need i need you to know you to know oh   ariana grande so baby come light me up and maybe i'll let you on it a little bit dangerous but baby that's how i want it a little less conversation and a little more touch my body 'cause i'm so into you into you into you got everyone watchin' us so baby let's keep it secret a little bit scandalous but baby dont let them see it a little less conversation and a little more touch my body 'cause i'm so into you into you into you oh yeah   ariana grande so come light me up so come light me up my baby a little dangerous a little dangerous my baby a little less conversation and a little more touch my body 'cause i'm so into you into you into you,joy
BTS (방탄소년단),Stay,방탄소년단 stay 가사   jung kook jin 꿈이었을까 널 본 것 같아 눈뜨면 다시 아무도 없는 방 가만히 난 주문을 걸어 그 어느 때보다 크게 뛰는 heart 이 순간 우리 언제라도 어디 있대도 together wherever yeah wherever yeah   rm jung kook 반복도 복인 것 같아 나도 모르겠어 나의 속을 uh huh 널 볼 순 없을까 가만히 모아보네 두 손을 uh huh 변하지 않는 내일 미친놈처럼 i keep sayin' wherever you are i know you always stay   rm jin jung kook 저 구름이 지나간 자리에 stay 마른 입술로 너에게 말해 stay stay stay stay always yeah i know you always stay yeah i know you always stay yeah i know you always stay  post jin jung kook 찬란한 오늘의 그 모두를 위해 hey yeah oh every night and day yeah i know you always stay   rm 바로 지금 난 널 생각해 니가 어디에 있던지 그게 뭐가 중요해 we connect to 7g it ain't the end of the world the present it shine like a pearl 이건 몇 파동에 불과 하지만 내가 널 바꿔놓을 거야  4 jin jung kook 가만히 난 주문을 걸어 그 어느 때보다 밝게 보이는 star 이 순간 우린 언제라도 어디 있대도 wherever you are i know you always stay   rm jin jung kook 저 바람이 지나간 바다에 stay 굳은 입술로 네게 말을 해 stay stay stay stay always yeah i know you always stay yeah i know you always stay yeah i know you always stay  post jung kook jin 찬란한 오늘의 그 모두를 위해 hey yeah oh every night and day yeah i know you always stay   jung kook 찬바람이 불어와 손 내밀어 네 숨결을 느껴 눈 감은 어느새 우린 함께인 걸,joy
Billie Eilish,Hostage (sonn Remix),i wanna be alone alone with you  does that make sense i wanna steal your soul and hide you in my treasure chest   i don't know what to do to do with your kiss on my neck i don't know what feels true but this feels right so stay a sec yeah you feel right so stay a sec yeah you feel right so stay a sec   gold on your fingertips fingertips against my cheek gold leaf across your lips kiss me until i can't speak  4 gold chain beneath your shirt the shirt that you let me wear home gold's fake and real love hurts and nothing hurts when i'm alone when you're with me and we're alone when you're with me and we're alone,joy
Billie Eilish,COPYCAT[live in London],don't be cautious don't be kind you committed i'm your crime push my button anytime you got your finger on the trigger but your trigger finger's mine   silver dollar golden flame dirty water poison rain perfect murder take your aim i don't belong to anyone but everybody knows my name  pre by the way you've been uninvited 'cause all you say are all the same things i did   copycat tryna cop my manner watch your back when you can't watch mine copycat tryna cop my glamor why so sad bunny can't have mine   call me calloused call me cold you're italic i'm in bold call me cocky watch your tone you better love me 'cause you're just a clone  pre by the way you've been uninvited 'cause all you say are all the same things i did   copycat tryna cop my manner watch your back when you can't watch mine copycat tryna cop my glamor why so sad bunny can't have mine   mine i would hate to see you go hate to be the one that told you so you just crossed the line you've run out of time i'm so sorry now you know sorry i'm the one that told you so sorry sorry i'm sorry sorry psych  pre by the way you've been uninvited 'cause all you say are all the same things i did   copycat tryna cop my manner watch your back when you can't watch mine copycat tryna cop my glamor why so sad bunny can't have mine,joy
Ariana Grande,God is a Woman (Excuse me i love you LIVE),you you love it how i move you love it how i touch you my one when all is said and done you believe god is a woman and i feel it after midnight a feeling that you can't fight my one it lingers when were done you believe god is a woman  i don't wanna waste no time yeah you ain't got onetrack mind yeah have it any way you like yeah and i can tell that you know i know how i want it ain't nobody else can relate boy i like that you ain't afraid boy lay me down and lets pray i'm tellin' you the way i like it how i want it  yeah and i can be all the things you told me not to be yeah when you come for me i keep on flourishing yeah and he sees the uniwhen i'm in company it's all in me  you you love it how i move you love it how i touch you my one when all is said and done you believe god is a woman and i feel it after midnight a feeling that you can't fight my one it lingers when were done you believe god is a woman,joy
Beyoncé,SPIRIT,uishi kwa muda mrefu mfalme uishi kwa uishi kwa uishi kwa muda mrefu mfalme uishi kwa uishi kwa   yeah yeah and the wind is talkin' yeah yeah for the very first time with a melody that pulls you towards it paintin' pictures of paradise  pre sayin' rise up to the light in the sky yeah watch the light lift your heart up burn your flame through the night woah   spirit watch the heavens open open yeah spirit can you hear it callin' callin' yeah   yeah yeah and the water's crashin' trying to keep your head up high while you're trembling that's when the magic happens and the stars gather by by your side  pre sayin' rise up to the light in the sky yeah let the light lift your heart up burn your flame through the night yeah   spirit watch the heavens open open yeah spirit can you hear it callin' callin' yeah  post your destiny is comin' close stand up and fiiight   so go into that far off land and be one with the great i am i am a boy becomes a man woah   spirit watch the heavens open open yeah spirit can you hear it callin' callin' yeah spirit yeah watch the heavens open open yeah spirit spirit can you hear it callin' callin' yeah  post your destiny is comin' close stand up and fiiiight   so go into a far off land and be one with the great i am,joy
Ariana Grande,Let It Rain,what it will be it will be i let it rain why was your whole life fulfilled  ah oh ah oh well i think it's getting dark out baby no thanks i don't need your yellow umbrella ever right now ah oh ah oh well you better get in the car could you move on i can't wait for the skies to open up its heart  and let it rain let the sun shine down on me i let it rain because you gotta deal with it anyway i let it rain what it will be it will be i let it rain why was your life so fulfilled  i let it rain imma let it rain yeah let the sun shine down on me i let it rain because you gotta deal with it anyway i let it rain i let it rain what it will be it will be i let it rain oh let it rain why was your whole life fulfilled,joy
BTS (방탄소년단),내 방을 여행하는 법 (Fly to My Room),방탄소년단 내 방을 여행하는 법 가사   jimin v 떠나볼까 let me fly to my 시선을 낮추고 어디든 막 zoom 지금 나와 let me fly to my get me outta my blues and now i'm feelin' brand new   jimin v everyday 답답해 미치겠어 feel like it's still day one 누가 저 시계를 좀 돌려줘 올해 다 뺏겼어 아직 난 침대 속 거북해 속이 it's killin' me slowly nah anyway 떠나고파 any way 뭐 방법이 없어 이 방이 내 전부 그럼 뭐 여길 내 세상으로 바꿔보지 뭐 yeah   jimin 떠나볼까 let me fly to my room 시선을 낮추고 어디든 막 zoom 지금 나와 let me fly to my room get me outta my blues and now i'm feelin' brand new   v jimin both everywhere 여기가 이랬나 싶어 갑자기 낯선 이 풍경 괜히 추억에 잠겨 오래된 책상도 달라진 햇빛도 특별해 보이네 i'm little less lonely nah better way i just found a better way sometimes we get to know broken is beautiful 가벼워 몸이 날아가 멀리 this thing so surreal yeah   v 떠나볼까 let me fly to my room 시선을 낮추고 어디든 막 zoom 지금 나와 let mе fly to my room get me outta my blues and now i'm feelin' brand nеw   suga jhope 이 방은 너무 작지 그래 나의 꿈을 담기에 yah yah yah 침대 그 위로 착지 여기가 제일 안전해 어쩜 기쁨도 슬픔도 어떤 감정도 여긴 그저 받아주네 yah yeh yah 때론 이 방이 감정의 쓰레기통이 돼도 날 안아주네 또 나를 반겨주네 사람들 같은 내 방 toy들 hi 마치 시내를 나온 듯이 북적여 tv 소리는 생각은 생각이 바꾸면 돼 여긴 나만 즐길 수 있는 travel 배달음식은  stars 낙관적으로 채워봐 i'm full   v 떠나볼까 let me fly to my 시선을 낮추고 어디든 막 zoom 지금 나와 let me fly to my get me outta my blues and now i'm feelin' brand new   jimin  v 떠나볼까 let me fly to my room ah 시선을 낮추고 어디든 막 zoom 지금 나와 let me fly to my room get me outta my blues and now i'm feelin' brand new 떠나볼까 let me fly to my room 시선을 낮추고 어디든 막 zoom you 지금 나와 let me fly to my room fly get me outta my blues ah yeah and now i'm feelin' brand new new,joy
Ariana Grande,They Don’t Know,mmmm watch me hey woo one two three watch me   i walked over got this sunlight ain't got time to listen to any shade yeah the wind on my pony topdown alright ain't got time to let them darken my day that's right  pre so light the fireworks sing like no one's hurt dance it's us against the world   oh they don't know they don't know they don't know they don't know about us they don't know they don't know they don't know they don't know about what we do yeah it's true i could have all this but i'm good if i got you they don't know they don't know they don't know they don't know about mmmm listen watch me   you act so lonely catch that feeling so hold onto it for as long as you can we could run away to only where we know boy i got plans hey  pre so light the fireworks sing like no one's hurt dance it's us against the world   oh they don't know they don't know they don't know they don't know about us they don't know they don't know they don't know they don't know about what we do yeah it's true i could have all this but i'm good if i got you they don't know they don't know they don't know they don't know about   hey they don't know about they don't know about about about us light the fireworks let it catch fire we gon' dance dance 'til it hurts when we in the clubs we 'bout to let 'em know know who's your girl so put your hand in my hand it's you and me it's us against the world sing it to me one more time it's you and me it's us against the world sing it to me one more time it's you and me it's us against the world i'm tryna tell you honey it's us against the world   oh they don't know they don't know they don't know they don't know about us they don't know they don't know they don't know they don't know about what we do yeah it's true i could have all this but i'm good if i got you they don't know they don't know they don't know they don't know about mmmm listen watch me   i walked over in the sunlight they don't know they don't know they don't know they don't know about us wind in my pony topdown alright they don't know they don't know they don't know they don't know about what we do yeah it's true i could have all this but i'm good if i got you they don't know they don't know they don't know they don't know about us,sadness
BTS (방탄소년단),INTRO : Never Mind,방탄소년단의  nevermind 가사   suga 앞만 보고 달렸지 주위를 둘러 볼 틈 없이 어느새 나는 가족의 자랑이 됐고 어느 정도 성공을 했어 사춘기라 말하는 그쯤 생각이 나네 문득 그 당시 나는 어렸고 무서울 게 없었지 몇 번의 좌절 그건 아무것도 아녀 달라진 거라곤 그때에 비해 조금 커진 키와 동 나이대에 비해 조금 성숙해진 시야 남산동의 지하 작업실에서부터 압구정까지 깔아 놓은 내 beat 청춘의 출처 주위 모두 말했지 오버하지마 음악 한답시고 깝치면 집안 거덜내니까 그때부터 신경 안 썼지 누가 뭐라든지 그저 내 꼴린대로 내 소신대로 살아갈 뿐 니가 보기엔 지금 난 어떨 것 같냐 내가 보기엔 어떨 것 같아 내가 망하길 기도했던 몇몇 놈에게 물을게 집안 거덜 낸 것 같냐 새꺄   suga i don't give a shit i don't give a fuck 하루 수백 번 입버릇처럼 말했던 내게서 신경 꺼 실패나 좌절 맛보고 고개 숙여도 돼 우리는 아직 젊고 어려 걱정 붙들어매 구르지 않는 돌에는 필시 끼기 마련이거든 이끼 돌아갈 수 없다면 직진 실수 따윈 모두 다 잊길 never mind 쉽진 않지만 가슴에 새겨놔 부딪힐 것 같으면 더 세게 밟아 임마   jhope never mind never mind 그 어떤 가시밭 길이라도 뛰어가  rap monster never mind never mind 세상엔 니가 어쩔 수 없는 일도 많아 you better  suga never mind never mind 부딪힐 것 같으면 더 세게 밟아 임마 never mind never mind 포기하기에는 우린 아직 젊고 어려 임마 never mind   suga 부딪힐 것 같으면 더 세게 밟아 임마 부딪힐 것 같으면 더 세게 밟아 임마 never mind,joy
Beyoncé,Mi Gente [Homecoming Live],beyoncé  mr vegas turn up beyoncé turn up beyoncé are y'all ready coachella turn up beyoncé i wanna see everybody from the front to the back put your hand up uno dos tres cuatro sing it now hey hey hey jump jump yeah let me see you jump ladies and gentlemen please give it up for j balvin yeh yeh   j balvin  beyoncé si el ritmo te lleva a mover la cabeza ya empezamo' cómo e' mi música no discrimina a nadie así que vamo' a y toda mi gente se mueve mira el ritmo cómo lo tiene' hago música que entretiene el mundo nos quiere nos quiere y me quiere a mí toda mi gente se mueve mira el ritmo cómo lo tiene' hago música que entretiene mi música los tienen fuerte bailando y se baila así come on  interlude beyoncé yeah hey give it up now yeah yeah yeah yeah here we go   beyoncé they say my body stay wetter than the ocean and he say that creole in my body's like a potion i can be a beast or i can give you emotion so please don't question my devotion i been giving birth on these haters 'cause i'm fertile see these double ds on this bag murda want my double ds in his bed serta if you really love me make an album 'bout me word up soon as i walk in boys start they talkin' right as that booty sway freeze slay lift up your people from texas puerto rico dem islands to méxico freeze  pre willy william  beyoncé y dónde está mi gente yeah yeah yeah yeah mais fais bouger la tête yeah yeah yeah yeah azul are you with me say yeah yeah yeah uno dos tres cuatro uno tre' here we go  interlude beyoncé oh yeah yeah yeah yeah oh yeah yeah yeah yeah uno dos tres cuatro    drake know you know you wanna roll with a good girl good girl know you know you wanna roll with a good girl good girl know you know you wanna roll with a good girl good girl one time know you wanna roll with a good girl do it big do it all for a good girl one time this is a song for the good girl and i still keep it hood still treat you like i should what's up   mr vegas  drake your body turn up mi say turn up turn up one time this gyal you hot like the sun so you turn up turn up one time this your body turn up mi say turn up turn up one time this gyal you hot like the sun so you turn up beyoncé you turn up beyoncé you turn up beyoncé you turn up beyoncé you,joy
